keel-pin: mask=0,8,16,24,32,40,48,56 width=8 doms=0,8,16,24,32,40,48,56 nodedoms=12
keel-bench-cpu: AMD EPYC 9R14
keel-bench-cores: 8 logical
keel-bench-governor: unknown (no cpufreq)
keel-bench-clock-mhz: 2600-3735 (snapshot, not sustained)
keel-bench-platform: linux/amd64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: avx512 (available: avx512 avx2 scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: avx512: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: avx2: unavailable (no cpuinfo_max_freq)
keel-bench-peak-formula: scalar: unavailable (no cpuinfo_max_freq)
keel-bench-gomaxprocs: 8
keel-bench-kern: 4x32/avx512 (available: 4x32/avx512 2x32/avx512 4x32/scalar 2x32/scalar)
keel-bench-kern-class: fma insns-per-fma=6.250 (avx512 with vbmi2+vpopcntdq (Ice Lake / Zen 4 or later))
keel-bench-kern-audit: 4x32/avx512=6.250 2x32/avx512=4.625
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: amd64
pkg: github.com/scttfrdmn/keel/bench
cpu: AMD EPYC 9R14
BenchmarkKernel/4x32/scalar/kc=128-8         	   83892	     16662 ns/op	         1.967 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   61548	     17279 ns/op	         1.896 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   80670	     16129 ns/op	         2.032 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   85531	     18124 ns/op	         1.808 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	  123130	     14820 ns/op	         2.211 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   84148	     17472 ns/op	         1.875 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   78610	     15153 ns/op	         2.162 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	  123194	     20400 ns/op	         1.606 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	  124228	     18223 ns/op	         1.798 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	  124587	     14936 ns/op	         2.194 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   61419	     21520 ns/op	         1.523 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   82178	     17888 ns/op	         1.832 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   73617	     18927 ns/op	         1.731 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   90819	     14778 ns/op	         2.217 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   86476	     17704 ns/op	         1.851 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   61268	     17080 ns/op	         1.918 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   82216	     14773 ns/op	         2.218 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   53670	     20226 ns/op	         1.620 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   95642	     15487 ns/op	         2.116 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   86388	     20457 ns/op	         1.602 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   95575	     17027 ns/op	         1.924 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   85732	     14667 ns/op	         2.234 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	  124566	     15862 ns/op	         2.066 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   78511	     19777 ns/op	         1.657 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   48969	     20882 ns/op	         1.569 GFLOP/s	     32768 flops/call
BenchmarkKernel/4x32/scalar/kc=128-8         	   90586	     16623 ns/op	         1.971 GFLOP/s	     32768 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244909	      5356 ns/op	         3.059 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  189238	      7449 ns/op	         2.199 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  235375	      4972 ns/op	         3.295 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  245034	      5331 ns/op	         3.074 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  243392	      7496 ns/op	         2.186 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244560	      4954 ns/op	         3.307 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  214146	      7369 ns/op	         2.223 GFLOP/s	     16384 flops/call
BenchmarkKernel/2x32/scalar/kc=128-8         	  244882	      4931 ns/op	         3.322 GFLOP/s	     16384 flops/call
