keel-bench-cpu: unknown (no model name in /proc/cpuinfo)
keel-bench-cores: 8 logical
keel-bench-governor: performance
keel-bench-clock-mhz: unknown (no cpu MHz field)
keel-bench-platform: linux/arm64
keel-bench-toolchain: go1.27.0-X:simd
keel-bench-backend: scalar (available: scalar)
keel-bench-peak-method: measured on this host by BenchmarkPeak (register-only FMA saturation); the formula below is a cross-check, not the denominator (issue #11)
keel-bench-peak-formula: scalar: 5.6 GFLOP/s (2.81 GHz cpuinfo_max_freq x 2 FP ports, unfused: 1 flop/op x 1 lanes)
keel-bench-gomaxprocs: 1
keel-bench-kern: 8x8/neon (available: 8x8/neon 4x16/neon 8x8/scalar 4x16/scalar)
keel-bench-kern-class: fma insns-per-fma=0.000 (no vector backend in this build (class unused))
keel-bench-kern-audit: 
keel-bench-openblas: not available (no cgo reference harness built; rebuild with -tags openblas on a host that has OpenBLAS)
goos: linux
goarch: arm64
pkg: github.com/scttfrdmn/keel/bench
BenchmarkKernel/4x16/neon/kc=8        	19770050	        60.71 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19762716	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19767220	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19769472	        60.71 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19771462	        60.71 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19766674	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19773532	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19770014	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19754767	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19720551	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19770499	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19748192	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19760539	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19766163	        60.71 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19779576	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19763121	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19756291	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19773724	        60.71 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=8        	19768898	        60.70 ns/op	        16.87 GFLOP/s	      1024 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5895650	       203.6 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5897772	       203.6 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5896166	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5894617	       203.5 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5896584	       203.6 ns/op	        20.12 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5894998	       203.5 ns/op	        20.13 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5897356	       203.5 ns/op	        20.13 GFLOP/s	      4096 flops/call
BenchmarkKernel/4x16/neon/kc=32       	 5892847	       203.5 ns/op	        20.13 GFLOP/s	      4096 flops/call
